EnglishDate,NepaliDate,Max,Min,Wind,Rain,Humidity,Cloud,Pressure
2009-1-1,2065-9-17,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
2010-1-1,2066-9-17,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
2011-1-1,2067-9-17,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
2012-1-1,2068-9-17,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
2013-1-1,2069-9-17,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
2014-1-1,2070-9-17,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
2015-1-1,2071-9-17,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
2016-1-1,2072-9-17,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
2017-1-1,2073-9-17,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
2018-1-1,2074-9-17,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
2019-1-1,2075-9-17,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
2020-1-1,2076-9-16,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
2021-1-1,2077-9-17,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
2022-1-1,2078-9-17,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
2023-1-1,2079-9-17,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
2009-1-2,2065-9-18,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
2010-1-2,2066-9-18,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
2011-1-2,2067-9-18,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
2012-1-2,2068-9-18,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
2013-1-2,2069-9-18,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
2014-1-2,2070-9-18,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
2015-1-2,2071-9-18,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
2016-1-2,2072-9-18,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
2017-1-2,2073-9-18,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
2018-1-2,2074-9-18,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
2019-1-2,2075-9-18,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
2020-1-2,2076-9-17,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
2021-1-2,2077-9-18,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
2022-1-2,2078-9-18,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
2023-1-2,2079-9-18,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
2009-1-3,2065-9-19,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
2010-1-3,2066-9-19,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
2011-1-3,2067-9-19,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
2012-1-3,2068-9-19,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
2013-1-3,2069-9-19,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
2014-1-3,2070-9-19,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
2015-1-3,2071-9-19,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
2016-1-3,2072-9-19,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
2017-1-3,2073-9-19,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
2018-1-3,2074-9-19,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
2019-1-3,2075-9-19,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
2020-1-3,2076-9-18,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
2021-1-3,2077-9-19,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
